External Data Reference,Gender,Campus,programa nombre,nivel_descripci�n,escuela,grad_years,Decada,lustro,AGE,nationality,living country,In which state do you live?,living country  before studies,living state  before studies,Which is the education level of your parents?  Father,Which is the education level of your parents?  Mother,Which of the following best describes the occupation of your father and mother when you began your studies at Tecnologico de Monterrey?  Father,Which of the following best describes the occupation of your father and mother when you began your studies at Tecnologico de Monterrey?  Mother,"During your studies at Tecnologico de Monterrey, did you receive the support of any scholarship (scholarship is understood as economic resources, which you did not have to reimburse at the end of your program)",What percentage of support did you receive from the scholarship?,Have you completed postgraduate studies?, Study level  Program 1,Please select the option that best describes your current situation  Selected Choice,How many hours do you usually work per week?,"Por favor conteste las siguientes preguntas de los puestos de trabajo que ha tenido.� Se entiende...  Position  2. Current job position (If you are not currently working, describe the last job position)","Since graduating from Tecnol�gico de Monterrey, have you founded a company, either as part of the group of partners or as owner? By partner we mean those who contributed money and/or work to start the company",Have you participated as an Advisor in any Advisory Boards of a company?,"Since graduating from Tecnol�gico de Monterrey, have you founded a nonprofit organization, as part of the founding group or main founder?",How many organizations have you founded?,How many are still in operation (actives)?,area_org_1,area_org_2,area_org_3,area_org_4,area_org_5,Foundation_Year_Org_1,Foundation_Year_Org_2,Foundation_Year_Org_3,Foundation_Year_Org_4,Foundation_Year_Org_5,operation_years_org_1,operation_years_org_2,operation_years_org_3,operation_years_org_4,operation_years_org_5,Num_Emp_Org_1,Num_Emp_Org_2,Num_Emp_Org_3,Num_Emp_Org_4,Num_Emp_Org_5,Country_Org_1,Country_Org_2,Country_Org_3,Country_Org_4,Country_Org_5,Do you regularly donate money to social organizations?,Money_Social,Unpaid_Volunteer,Per_Month_Social,Happiness,life_satisfaction,Worthwhile,Physical Health,Overall_Mental,Good_Circumstances,Greater_Happiness_Later,Content_Friends,Satisfying_Relationships,Normal_Monthly_Living,Worryness,Life_Purpose
IQA05MTY1102,F,Monterrey,Ingeniero Qu�mico Administrador,Profesional,Ingenier�a y Ciencias,2019,01�s,01�s  2,27,Mexican,M�xico,Nuevo Le�n,M�xico,Nuevo Le�n,Postgraduate,University,Partner or owner of a company,Housework,No,,No,,Paid employee,76,Manager,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Yes,19,9,9,10,10,8,10,10,10,10,10,10,10
IMA05MTY5696,F,Monterrey,Ingeniero Mec�nico Administrador,Profesional,Ingenier�a y Ciencias,2010,01�s,01�s  1,36,Mexican,United States of America,,M�xico,Nuevo Le�n,Postgraduate,High School,"Public Servant (federal, state or municipal)",Housework,No,,No,,Paid employee,40,Other,No,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,"From 5,001 to 10,000 Mexican Pesos",Yes,5,9,9,9,8,8,9,9,10,9,9,10,10
LAF05MTY2822,M,Monterrey,Licenciado en Administraci�n Financiera,Profesional,Negocios,2010,01�s,01�s  1,35,Mexican,M�xico,Zacatecas,M�xico,Zacatecas,University,Technical Career,"Public Servant (federal, state or municipal)",Housework,No,,No,,Partner or owner of a company,40,Owner,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,No,,8,8,9,10,8,8,8,8,9,4,2,9
IME05MTY19111,M,Monterrey,Ingeniero Mec�nico Electricista,Profesional,Ingenier�a y Ciencias,2011,01�s,01�s  1,34,Mexican,Afghanistan,,M�xico,Ciudad de M�xico,Postgraduate,University,Manager of a company,Employee of a company,No,,Yes,Master's Degree,Paid employee,60,Manager,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,No,,9,8,8,8,6,10,10,8,8,6,5,7
IIS05HER11174,F,Sonora Norte,Ingeniero Industrial y de Sistemas,Profesional,Ingenier�a y Ciencias,2011,01�s,01�s  1,34,Mexican,United States of America,,M�xico,Sonora,University,Postgraduate,Freelancer,"Public Servant (federal, state or municipal)",Yes,30,No,,Paid employee,40,Executive,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,No,,9,10,10,10,10,10,10,10,10,5,9,10
IIS05HER13288,M,Sonora Norte,Ingeniero Industrial y de Sistemas,Profesional,Ingenier�a y Ciencias,2019,01�s,01�s  2,25,Mexican,United States of America,,M�xico,Sonora,University,Technical Career,Partner or owner of a company,Partner or owner of a company,Yes,14,No,,Paid employee,47,Manager,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,"From 5,001 to 10,000 Mexican Pesos",Yes,1,8,8,9,6,9,10,9,8,7,9,10,10
IMT05CEM21179,M,Estado de M�xico,Ingeniero en Mecatr�nica,Profesional,Ingenier�a y Ciencias,2015,01�s,01�s  2,31,Mexican,Bahamas,,M�xico,Estado de M�xico,Postgraduate,University,Partner or owner of a company,Housework,Yes,20,Yes,Master's Degree,Paid employee,40,Manager,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,"From 5,001 to 10,000 Mexican Pesos",Yes,3,10,10,10,7,9,10,9,10,10,10,10,10
LMC05PUE26545,F,Puebla,Licenciado en Mercadotecnia y Comunicaci�n,Profesional,Negocios,2020,02�s,02�s  1,26,Mexican,Germany,,M�xico,Puebla,Postgraduate,University,Partner or owner of a company,Freelancer,Yes,10,Yes,Master's Degree,Paid employee,40,Other,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,No,,8,10,10,9,9,9,9,9,8,4,4,8
ISC05CEM28376,M,Estado de M�xico,Ingeniero en Sistemas Computacionales,Profesional,Ingenier�a y Ciencias,2020,02�s,02�s  1,25,Mexican,M�xico,Ciudad de M�xico,M�xico,Estado de M�xico,Postgraduate,Postgraduate,"Public Servant (federal, state or municipal)",Freelancer,Yes,100,No,,Partner or owner of a company,60,Owner,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,No,,10,10,10,9,9,10,10,10,8,7,7,10
IMT05GDL29837,M,Guadalajara,Ingeniero en Mecatr�nica,Profesional,Ingenier�a y Ciencias,2021,02�s,02�s  1,26,Mexican,United States of America,,M�xico,Jalisco,University,University,Partner or owner of a company,Housework,Yes,50,No,,Paid employee,40,Other,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,No,,8,9,8,9,9,9,8,9,10,10,10,6
